"STD_YM","SIDO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","SCLS_NM","MCLS_NM","LCLS_NM","SALE_AMT_00TMST","SALE_AMT_01TMST","SALE_AMT_02TMST","SALE_AMT_03TMST","SALE_AMT_04TMST","SALE_AMT_05TMST","SALE_AMT_06TMST","SALE_AMT_07TMST","SALE_AMT_08TMST","SALE_AMT_09TMST","SALE_AMT_10TMST","SALE_AMT_11TMST","SALE_AMT_12TMST","SALE_AMT_13TMST","SALE_AMT_14TMST","SALE_AMT_15TMST","SALE_AMT_16TMST","SALE_AMT_17TMST","SALE_AMT_18TMST","SALE_AMT_19TMST","SALE_AMT_20TMST","SALE_AMT_21TMST","SALE_AMT_22TMST","SALE_AMT_23TMST","APV_CNT_00TMST","APV_CNT_01TMST","APV_CNT_02TMST","APV_CNT_03TMST","APV_CNT_04TMST","APV_CNT_05TMST","APV_CNT_06TMST","APV_CNT_07TMST","APV_CNT_08TMST","APV_CNT_09TMST","APV_CNT_10TMST","APV_CNT_11TMST","APV_CNT_12TMST","APV_CNT_13TMST","APV_CNT_14TMST","APV_CNT_15TMST","APV_CNT_16TMST","APV_CNT_17TMST","APV_CNT_18TMST","APV_CNT_19TMST","APV_CNT_20TMST","APV_CNT_21TMST","APV_CNT_22TMST","APV_CNT_23TMST","PRICE_00TMST","PRICE_01TMST","PRICE_02TMST","PRICE_03TMST","PRICE_04TMST","PRICE_05TMST","PRICE_06TMST","PRICE_07TMST","PRICE_08TMST","PRICE_09TMST","PRICE_10TMST","PRICE_11TMST","PRICE_12TMST","PRICE_13TMST","PRICE_14TMST","PRICE_15TMST","PRICE_16TMST","PRICE_17TMST","PRICE_18TMST","PRICE_19TMST","PRICE_20TMST","PRICE_21TMST","PRICE_22TMST","PRICE_23TMST","DATA_LOAD_DT"
"201603","서울특별시","종로구","혜화동","11010660100021000003","미용실","이/미용/건강","생활서비스","0","0","0","0","0","0","0","0","0","0","0","0","0","0","900786.99","180157.4","0","0","409448.64","558487.97","2432124.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","16","0","0","16","64","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56299.19","11259.84","0","0","25590.54","8726.37","50669.27","0","0","0","2016-03-30 오후 6:39:22"
"201603","서울특별시","종로구","혜화동","11010660100021000003","프랜차이즈_국/찌개/탕요리-기타","프랜차이즈_한식","프랜차이즈_음식","0","0","0","0","0","0","0","0","0","0","269280.48","0","134640.24","639541.15","0","0","246840.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","0","22","44","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6120.01","0","6120.01","14535.03","0","0","11220.02","0","0","0","0","0","0","0","2016-03-30 오후 6:39:22"
"201603","서울특별시","종로구","숭인2동","11010710100061000001","네일케어","이/미용/건강","생활서비스","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","152905.99","280327.66","0","828240.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11762","21563.67","0","63710.83","0","0","0","2016-03-30 오후 6:39:22"
"201603","서울특별시","종로구","숭인2동","11010710100061000001","노래방","무도/유흥/가무","관광/여가/오락","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","276412.86","0","884521.16","368550.48","792383.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","54","18","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15356.27","0","16380.02","20475.03","14673.77","2016-03-30 오후 6:39:22"
"201603","서울특별시","종로구","숭인2동","11010710100061000001","당구장","PC/오락/당구/볼링등","관광/여가/오락","788663.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","675996.92","0","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","14083.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24142.75","0","2016-03-30 오후 6:39:22"
"201603","서울특별시","종로구","숭인2동","11010710100061000001","모텔","모텔/여관/여인숙","숙박","0","0","895699.59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81427.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2016-03-30 오후 6:39:22"
"201603","서울특별시","종로구","숭인2동","11010710100061000001","슈퍼마켓 일반점","종합소매점","소매","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93266.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10362.99","0","0","0","0","0","0","0","0","2016-03-30 오후 6:39:22"
"201603","서울특별시","종로구","숭인2동","11010710100061000001","일식 전문점","일식","음식","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","266746.15","0","533492.31","986960.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","26","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20518.93","0","20518.94","37960.03","0","2016-03-30 오후 6:39:22"
"201603","서울특별시","종로구","숭인2동","11010710100061000001","잡화점","종합소매점","소매","0","0","0","0","0","0","0","0","0","0","0","345111.72","0","440681.15","79641.18","0","172555.87","822958.75","0","982241.06","0","100878.82","1778652.77","305291.15","0","0","0","0","0","0","0","0","0","0","0","27","0","81","27","0","27","81","0","81","0","27","27","54","0","0","0","0","0","0","0","0","0","0","0","12781.92","0","5440.51","2949.67","0","6390.96","10159.98","0","12126.43","0","3736.25","65876.03","5653.54","2016-03-30 오후 6:39:22"
"201603","서울특별시","종로구","숭인2동","11010710100061000001","치킨/호프 전문점","별식/퓨전요리","음식","191629.62","1916296.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","814425.88","718611.08","754541.63","4934462.68","670703.66","1185708.27","2060018.4","24","96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","48","48","168","24","48","96","7984.57","19961.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16967.21","14971.06","15719.62","29371.8","27945.99","24702.26","21458.53","2016-03-30 오후 6:39:22"
