"STD_YM","SIDO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","SCLS_NM","MCLS_NM","LCLS_NM","SUN_SALE_AMT","MON_SALE_AMT","TUS_SALE_AMT","WED_SALE_AMT","THU_SALE_AMT","FRI_SALE_AMT","SAT_SALE_AMT","SUN_APV_CNT","MON_APV_CNT","TUS_APV_CNT","WED_APV_CNT","THU_APV_CNT","FRI_APV_CNT","SAT_APV_CNT","SUN_PRICE","MON_PRICE","TUS_PRICE","WED_PRICE","THU_PRICE","FRI_PRICE","SAT_PRICE","DATA_LOAD_DT"
"201603","서울특별시","종로구","삼청동","11010540100021000001","프랜차이즈_편의점","프랜차이즈_종합소매점","프랜차이즈_소매","4714106.42","1780639.53","4838198.16","3826161.27","5491594.68","3141358.79","8006979.71","1009","300","782","722","725","588","1282","4672.06","5935.47","6186.95","5299.39","7574.61","5342.45","6245.69","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","프랜차이즈_화장품 판매","프랜차이즈_화장품소매","프랜차이즈_소매","285504.53","0","190336.35","376594.07","156347.72","129156.81","326290.88","42","0","14","56","14","28","56","6797.73","0","13595.45","6724.89","11167.69","4612.74","5826.62","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","화장품 판매","화장품소매","소매","522065.39","1468308.99","440492.69","293661.8","0","146830.89","146830.89","56","14","28","14","0","14","14","9322.6","104879.21","15731.88","20975.84","0","10487.92","10487.92","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","가방 도매","기타생활용품","도매/유통/무역","707779.03","1098277.8","0","463717.29","11836994.09","2440617.34","829809.89","12","12","0","12","24","12","12","58981.59","91523.15","0","38643.11","493208.09","203384.78","69150.82","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","경양식 전문점","양식","음식","40490201.8","4681702.24","23030206.43","34941732.42","35070008.1","30483244.42","40106823.94","606","84","436","364","379","252","719","66815.51","55734.55","52821.57","95993.77","92533","120965.26","55781.4","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","공예품 판매","기타유통관리업","도매/유통/무역","0","0","0","0","0","907809.29","0","0","0","0","0","0","11","0","0","0","0","0","0","82528.12","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","귀금속/장신구 판매","시계/귀금속소매","소매","12837913.19","0","0","0","13490688.44","8377282.33","106837548.71","33","0","0","0","11","11","77","389027.67","0","0","0","1226426.22","761571.12","1387500.63","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","기타세계요리 전문점","양식","음식","0","0","0","0","21715634.6","0","0","0","0","0","0","44","0","0","0","0","0","0","493537.15","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","떡볶이 전문점","분식","음식","6884825.46","1018285.44","3136547.15","3586796.49","1990976.02","3531702.69","9217763.03","361","76","152","171","133","171","494","19071.54","13398.49","20635.18","20975.42","14969.74","20653.23","18659.44","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","분식 전문점","분식","음식","467606384.59","154116757.07","245066292.75","181992930.4","195227073.42","223572542.83","391111161.27","17766","5452","10058","7990","7896","8084","16542","26320.3","28267.93","24365.31","22777.59","24724.81","27656.18","23643.52","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","슈퍼마켓 일반점","종합소매점","소매","762923.05","207052.48","394518.89","273271.94","602504.04","161351.69","277002.64","54","36","55","27","81","27","54","14128.2","5751.46","7173.07","10121.18","7438.32","5975.99","5129.68","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","신발 판매","가방/신발/액세서리","소매","18577498.54","0","18104418.26","4712607.37","0","4330504.07","15757212.3","126","0","108","36","0","36","162","147440.46","0","167633.5","130905.76","0","120291.78","97266.74","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","애완동물 판매","애견/애완/동물","소매","0","477400.89","213602.19","202922.07","576725.91","1666097.06","1564636.02","0","22","22","11","22","22","33","0","21700.04","9709.19","18447.46","26214.81","75731.68","47413.21","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","액세서리용품 판매","가방/신발/액세서리","소매","808454.49","471598.45","377278.77","2587054.38","4985469.38","7011995.32","14654585.12","54","27","27","81","54","108","162","14971.38","17466.61","13973.29","31938.94","92323.51","64925.88","90460.4","2016-03-30 오후 6:39:20"
