,stdr_yy_cd,stdr_qu_cd,trdar_se_cd,trdar_se_cd_nm,trdar_cd,trdar_cd_nm,tot_flpop_co
23924,2018,1,A,골목상권,1000087,후암로28길,225929
23925,2018,1,A,골목상권,1000088,고산자로6길,456801
23926,2018,1,A,골목상권,1000089,금호산2길,93281
23927,2018,1,A,골목상권,1000090,금호산길,300928
23928,2018,1,A,골목상권,1000091,둘레9길,123710
23929,2018,1,A,골목상권,1000092,뚝섬로5길,65152
23930,2018,1,A,골목상권,1000093,마장로27길,98092
23931,2018,1,A,골목상권,1000094,마장로39길,130433
23932,2018,1,A,골목상권,1000095,마조로16길,177729
23933,2018,1,A,골목상권,1000096,마조로1길,383279
23934,2018,1,A,골목상권,1000097,매봉길,71512
23935,2018,1,A,골목상권,1000098,무수막길,374406
23936,2018,1,A,골목상권,1000099,무학로6길,457226
23937,2018,1,A,골목상권,1000100,무학봉28길,67021
23938,2018,1,A,골목상권,1000101,무학봉길,50077
23939,2018,1,A,골목상권,1000102,사근동길,124292
23940,2018,1,A,골목상권,1000103,상원12길,117541
23941,2018,1,A,골목상권,1000104,상원길,238817
23942,2018,1,A,골목상권,1000105,서울숲2길,269694
23943,2018,1,A,골목상권,1000106,성덕정17길,267158
23944,2018,1,A,골목상권,1000107,성덕정길,104701
23945,2018,1,A,골목상권,1000108,성수이로18길,131388
23946,2018,1,A,골목상권,1000109,성수이로7길,257122
23947,2018,1,A,골목상권,1000110,성수일로6길,161505
23948,2018,1,A,골목상권,1000111,송정12라길,119606
23949,2018,1,A,골목상권,1000112,송정4가길,241836
23950,2018,1,A,골목상권,1000113,아차산로11길,204944
23951,2018,1,A,골목상권,1000114,아차산로15길,157973
23952,2018,1,A,골목상권,1000115,아차산로5길,72936
23953,2018,1,A,골목상권,1000116,왕십리로14길,129093
23954,2018,1,A,골목상권,1000117,왕십리로21길,194070
23955,2018,1,A,골목상권,1000118,왕십리로26길,383342
23956,2018,1,A,골목상권,1000119,왕십리로31길,480913
23957,2018,1,A,골목상권,1000120,왕십리로6길,321921
23958,2018,1,A,골목상권,1000121,용답29길,143327
23959,2018,1,A,골목상권,1000122,용답중앙길,102913
23960,2018,1,A,골목상권,1000123,장터길,129972
23961,2018,1,A,골목상권,1000124,청계천로10나길,123999
23962,2018,1,A,골목상권,1000125,한림말3길,171738
23963,2018,1,A,골목상권,1000126,한림말길,218526
23964,2018,1,A,골목상권,1000127,광나루로12길,304646
23965,2018,1,A,골목상권,1000128,광나루로24길,237767
23966,2018,1,A,골목상권,1000129,광나루로36길,69952
23967,2018,1,A,골목상권,1000130,광나루로37길,68306
23968,2018,1,A,골목상권,1000131,광나루로40길,381569
23969,2018,1,A,골목상권,1000132,광나루로52길,226126
23970,2018,1,A,골목상권,1000133,긴고랑로20길,148036
23971,2018,1,A,골목상권,1000134,긴고랑로7길,153792
23972,2018,1,A,골목상권,1000135,긴고랑로8길,164222
23973,2018,1,A,골목상권,1000136,긴고랑로9길,184194
23974,2018,1,A,골목상권,1000137,능동로13길,465399
23975,2018,1,A,골목상권,1000138,능동로19길,292604
23976,2018,1,A,골목상권,1000139,능동로34길,165249
